#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 06 01 00 00 999  1.8  2.7 99.00 99.00 99.00 999 1025.6 999.0  22.5 999.0 99.0 99.00 
2019 06 01 00 10 999  1.7  2.5 99.00 99.00 99.00 999 1025.6 999.0  22.5 999.0 99.0 99.00 
2019 06 01 00 20 999  1.7  2.6 99.00 99.00 99.00 999 1025.7 999.0  22.5 999.0 99.0 99.00 
2019 06 01 00 30 999  1.2  2.0 99.00 99.00 99.00 999 1025.6 999.0  22.5 999.0 99.0 99.00 
2019 06 01 00 40 999  1.4  2.0  0.95  7.69  6.06 301 1025.6 999.0  22.5 999.0 99.0 99.00 
2019 06 01 00 50 999  1.4  2.2 99.00 99.00 99.00 999 1025.5 999.0  22.5 999.0 99.0 99.00 
2019 06 01 01 00 999  1.5  2.3 99.00 99.00 99.00 999 1025.5 999.0  22.5 999.0 99.0 99.00 
2019 06 01 01 10 999  1.4  2.1 99.00 99.00 99.00 999 1025.5 999.0  22.5 999.0 99.0 99.00 
2019 06 01 01 20 999  1.6  2.4 99.00 99.00 99.00 999 1025.5 999.0  22.5 999.0 99.0 99.00 
2019 06 01 01 30 999  1.6  2.3 99.00 99.00 99.00 999 1025.6 999.0  22.5 999.0 99.0 99.00 
2019 06 01 01 40 999  1.8  2.6  1.03  7.69  6.25 317 1025.5 999.0  22.5 999.0 99.0 99.00 
2019 06 01 01 50 999  1.6  2.4 99.00 99.00 99.00 999 1025.5 999.0  22.5 999.0 99.0 99.00 
2019 06 01 02 00 999  1.6  2.5 99.00 99.00 99.00 999 1025.5 999.0  22.5 999.0 99.0 99.00 
2019 06 01 02 10 999  1.5  2.2 99.00 99.00 99.00 999 1025.5 999.0  22.5 999.0 99.0 99.00 
2019 06 01 02 20 999  1.5  2.5 99.00 99.00 99.00 999 1025.5 999.0  22.5 999.0 99.0 99.00 
2019 06 01 02 30 999  1.8  2.8 99.00 99.00 99.00 999 1025.5 999.0  22.5 999.0 99.0 99.00 
2019 06 01 02 40 999  1.9  2.7  1.03  6.67  6.26 298 1025.4 999.0  22.5 999.0 99.0 99.00 
2019 06 01 02 50 999  1.7  2.4 99.00 99.00 99.00 999 1025.2 999.0  22.5 999.0 99.0 99.00 
2019 06 01 03 00 999  1.6  2.5 99.00 99.00 99.00 999 1025.2 999.0  22.5 999.0 99.0 99.00 
2019 06 01 03 10 999  1.6  2.4 99.00 99.00 99.00 999 1025.2 999.0  22.5 999.0 99.0 99.00 
2019 06 01 03 20 999  1.3  2.2 99.00 99.00 99.00 999 1025.2 999.0  22.5 999.0 99.0 99.00 
2019 06 01 03 30 999  1.4  2.0 99.00 99.00 99.00 999 1025.2 999.0  22.5 999.0 99.0 99.00 
2019 06 01 03 40 999  1.6  2.3  0.95  7.14  6.01 298 1025.1 999.0  22.5 999.0 99.0 99.00 
2019 06 01 03 50 999  1.5  2.1 99.00 99.00 99.00 999 1024.9 999.0  22.5 999.0 99.0 99.00 
2019 06 01 04 00 999  1.5  2.3 99.00 99.00 99.00 999 1024.9 999.0  22.5 999.0 99.0 99.00 
2019 06 01 04 10 999  1.6  2.4 99.00 99.00 99.00 999 1024.9 999.0  22.5 999.0 99.0 99.00 
2019 06 01 04 20 999  1.8  2.5 99.00 99.00 99.00 999 1024.8 999.0  22.5 999.0 99.0 99.00 
2019 06 01 04 30 999  1.9  2.7 99.00 99.00 99.00 999 1024.7 999.0  22.4 999.0 99.0 99.00 
2019 06 01 04 40 999  1.9  2.6  0.98  8.33  6.27 335 1024.7 999.0  22.4 999.0 99.0 99.00 
2019 06 01 04 50 999  2.0  2.8 99.00 99.00 99.00 999 1024.7 999.0  22.4 999.0 99.0 99.00 
2019 06 01 05 00 999  1.9  2.7 99.00 99.00 99.00 999 1024.6 999.0  22.4 999.0 99.0 99.00 
2019 06 01 05 10 999  2.0  2.8 99.00 99.00 99.00 999 1024.7 999.0  22.4 999.0 99.0 99.00 
2019 06 01 05 20 999  2.0  2.9 99.00 99.00 99.00 999 1024.7 999.0  22.4 999.0 99.0 99.00 
2019 06 01 05 30 999  1.8  2.5 99.00 99.00 99.00 999 1024.7 999.0  22.4 999.0 99.0 99.00 
2019 06 01 05 40 999  1.8  2.5  0.99  7.69  6.17 321 1024.6 999.0  22.4 999.0 99.0 99.00 
2019 06 01 05 50 999  2.0  2.7 99.00 99.00 99.00 999 1024.7 999.0  22.4 999.0 99.0 99.00 
2019 06 01 06 00 999  2.0  2.8 99.00 99.00 99.00 999 1024.6 999.0  22.4 999.0 99.0 99.00 
2019 06 01 06 10 999  2.0  2.7 99.00 99.00 99.00 999 1024.6 999.0  22.4 999.0 99.0 99.00 
2019 06 01 06 20 999  2.2  2.8 99.00 99.00 99.00 999 1024.7 999.0  22.4 999.0 99.0 99.00 
2019 06 01 06 30 999  2.0  3.3 99.00 99.00 99.00 999 1024.6 999.0  22.4 999.0 99.0 99.00 
2019 06 01 06 40 999  2.0  2.9 99.00 99.00 99.00 999 1024.6 999.0  22.4 999.0 99.0 99.00 
2019 06 01 06 50 999  1.9  2.8 99.00 99.00 99.00 999 1024.6 999.0  22.4 999.0 99.0 99.00 
2019 06 01 07 00 999  1.9  2.7 99.00 99.00 99.00 999 1024.7 999.0  22.3 999.0 99.0 99.00 
2019 06 01 07 10 999  2.2  2.9 99.00 99.00 99.00 999 1024.8 999.0  22.3 999.0 99.0 99.00 
2019 06 01 07 20 999  2.3  3.1 99.00 99.00 99.00 999 1024.9 999.0  22.3 999.0 99.0 99.00 
2019 06 01 07 30 999  2.4  3.3 99.00 99.00 99.00 999 1024.9 999.0  22.3 999.0 99.0 99.00 
2019 06 01 07 40 999  2.3  3.2  0.98  7.69  6.23 308 1025.0 999.0  22.3 999.0 99.0 99.00 
2019 06 01 07 50 999  2.3  3.0 99.00 99.00 99.00 999 1024.9 999.0  22.3 999.0 99.0 99.00 
2019 06 01 08 00 999  2.1  3.0 99.00 99.00 99.00 999 1024.9 999.0  22.3 999.0 99.0 99.00 
2019 06 01 08 10 999  1.9  2.7 99.00 99.00 99.00 999 1025.1 999.0  22.3 999.0 99.0 99.00 
2019 06 01 08 20 999  2.1  3.0 99.00 99.00 99.00 999 1025.2 999.0  22.3 999.0 99.0 99.00 
2019 06 01 08 30 999  2.1  2.7 99.00 99.00 99.00 999 1025.2 999.0  22.3 999.0 99.0 99.00 
2019 06 01 08 40 999  2.1  2.8  0.95  7.69  6.11 333 1025.3 999.0  22.3 999.0 99.0 99.00 
2019 06 01 08 50 999  1.9  2.4 99.00 99.00 99.00 999 1025.3 999.0  22.3 999.0 99.0 99.00 
2019 06 01 09 00 999  2.2  2.9 99.00 99.00 99.00 999 1025.4 999.0  22.3 999.0 99.0 99.00 
2019 06 01 09 10 999  2.1  2.9 99.00 99.00 99.00 999 1025.4 999.0  22.3 999.0 99.0 99.00 
2019 06 01 09 20 999  2.1  3.2 99.00 99.00 99.00 999 1025.5 999.0  22.3 999.0 99.0 99.00 
2019 06 01 09 30 999  2.2  3.0 99.00 99.00 99.00 999 1025.6 999.0  22.3 999.0 99.0 99.00 
2019 06 01 09 40 999  2.3  3.1  0.94 10.00  6.18  84 1025.7 999.0  22.3 999.0 99.0 99.00 
2019 06 01 09 50 999  2.1  2.8 99.00 99.00 99.00 999 1025.8 999.0  22.3 999.0 99.0 99.00 
2019 06 01 10 00 999  1.9  2.9 99.00 99.00 99.00 999 1025.8 999.0  22.3 999.0 99.0 99.00 
2019 06 01 10 10 999  2.0  2.8 99.00 99.00 99.00 999 1025.9 999.0  22.3 999.0 99.0 99.00 
2019 06 01 10 20 999  2.1  2.8 99.00 99.00 99.00 999 1026.0 999.0  22.3 999.0 99.0 99.00 
2019 06 01 10 30 999  1.8  2.5 99.00 99.00 99.00 999 1026.0 999.0  22.3 999.0 99.0 99.00 
2019 06 01 10 40 999  2.0  2.7  0.95  9.09  6.26  60 1026.0 999.0  22.4 999.0 99.0 99.00 
2019 06 01 10 50 999  2.0  2.7 99.00 99.00 99.00 999 1026.0 999.0  22.4 999.0 99.0 99.00 
2019 06 01 11 00 999  2.0  2.7 99.00 99.00 99.00 999 1026.0 999.0  22.4 999.0 99.0 99.00 
2019 06 01 11 10 999  2.1  2.9 99.00 99.00 99.00 999 1026.1 999.0  22.4 999.0 99.0 99.00 
2019 06 01 11 20 999  2.0  3.0 99.00 99.00 99.00 999 1026.0 999.0  22.5 999.0 99.0 99.00 
2019 06 01 11 30 999  2.0  2.8 99.00 99.00 99.00 999 1026.0 999.0  22.4 999.0 99.0 99.00 
2019 06 01 11 40 999  1.9  2.7  0.98  9.09  6.40 339 1026.0 999.0  22.5 999.0 99.0 99.00 
2019 06 01 11 50 999  2.0  2.7 99.00 99.00 99.00 999 1026.1 999.0  22.5 999.0 99.0 99.00 
