#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 06 01 12 00 999  2.1  3.2 99.00 99.00 99.00 999 1026.3 999.0  22.5 999.0 99.0 99.00 
2019 06 01 12 10 999  2.4  3.1 99.00 99.00 99.00 999 1026.4 999.0  22.5 999.0 99.0 99.00 
2019 06 01 12 20 999  2.2  3.3 99.00 99.00 99.00 999 1026.4 999.0  22.6 999.0 99.0 99.00 
2019 06 01 12 30 999  2.1  3.3 99.00 99.00 99.00 999 1026.5 999.0  22.7 999.0 99.0 99.00 
2019 06 01 12 40 999  2.3  3.0  1.00  9.09  6.48  88 1026.5 999.0  22.6 999.0 99.0 99.00 
2019 06 01 12 50 999  2.2  2.9 99.00 99.00 99.00 999 1026.5 999.0  22.6 999.0 99.0 99.00 
2019 06 01 13 00 999  2.3  3.2 99.00 99.00 99.00 999 1026.5 999.0  22.7 999.0 99.0 99.00 
2019 06 01 13 10 999  2.1  2.9 99.00 99.00 99.00 999 1026.4 999.0  22.9 999.0 99.0 99.00 
2019 06 01 13 20 999  2.1  2.7 99.00 99.00 99.00 999 1026.5 999.0  22.9 999.0 99.0 99.00 
2019 06 01 13 30 999  2.3  3.0 99.00 99.00 99.00 999 1026.5 999.0  22.8 999.0 99.0 99.00 
2019 06 01 13 40 999  2.2  3.0  0.95  7.69  6.29 322 1026.5 999.0  22.8 999.0 99.0 99.00 
2019 06 01 13 50 999  2.2  3.0 99.00 99.00 99.00 999 1026.6 999.0  22.9 999.0 99.0 99.00 
2019 06 01 14 00 999  2.4  3.2 99.00 99.00 99.00 999 1026.6 999.0  22.8 999.0 99.0 99.00 
2019 06 01 14 10 999  2.2  3.1 99.00 99.00 99.00 999 1026.6 999.0  22.7 999.0 99.0 99.00 
2019 06 01 14 20 999  2.3  3.0 99.00 99.00 99.00 999 1026.6 999.0  22.8 999.0 99.0 99.00 
2019 06 01 14 30 999  2.4  3.2 99.00 99.00 99.00 999 1026.6 999.0  22.7 999.0 99.0 99.00 
2019 06 01 14 40 999  2.3  3.3  1.08  9.09  6.70  18 1026.5 999.0  22.5 999.0 99.0 99.00 
2019 06 01 14 50 999  2.1  3.2 99.00 99.00 99.00 999 1026.5 999.0  22.7 999.0 99.0 99.00 
2019 06 01 15 00 999  2.1  3.1 99.00 99.00 99.00 999 1026.5 999.0  23.3 999.0 99.0 99.00 
2019 06 01 15 10 999  2.2  3.3 99.00 99.00 99.00 999 1026.4 999.0  23.3 999.0 99.0 99.00 
2019 06 01 15 20 999  2.2  3.0 99.00 99.00 99.00 999 1026.4 999.0  23.2 999.0 99.0 99.00 
2019 06 01 15 30 999  2.4  3.4 99.00 99.00 99.00 999 1026.5 999.0  23.3 999.0 99.0 99.00 
2019 06 01 15 40 999  2.2  3.2  1.02 10.00  6.79 357 1026.4 999.0  23.2 999.0 99.0 99.00 
2019 06 01 15 50 999  2.5  3.5 99.00 99.00 99.00 999 1026.4 999.0  23.3 999.0 99.0 99.00 
2019 06 01 16 00 999  2.3  3.3 99.00 99.00 99.00 999 1026.4 999.0  23.3 999.0 99.0 99.00 
2019 06 01 16 10 999  2.5  3.9 99.00 99.00 99.00 999 1026.4 999.0  23.6 999.0 99.0 99.00 
2019 06 01 16 20 999  2.3  3.4 99.00 99.00 99.00 999 1026.4 999.0  23.7 999.0 99.0 99.00 
2019 06 01 16 30 999  2.3  3.4 99.00 99.00 99.00 999 1026.4 999.0  23.4 999.0 99.0 99.00 
2019 06 01 16 40 999  2.3  3.7  1.09  9.09  6.90 357 1026.4 999.0  23.3 999.0 99.0 99.00 
2019 06 01 16 50 999  2.2  3.0 99.00 99.00 99.00 999 1026.4 999.0  23.5 999.0 99.0 99.00 
2019 06 01 17 00 999  2.1  2.9 99.00 99.00 99.00 999 1026.4 999.0  23.4 999.0 99.0 99.00 
2019 06 01 17 10 999  2.2  3.5 99.00 99.00 99.00 999 1026.4 999.0  23.4 999.0 99.0 99.00 
2019 06 01 17 20 999  2.1  2.9 99.00 99.00 99.00 999 1026.4 999.0  23.2 999.0 99.0 99.00 
2019 06 01 17 30 999  2.2  3.5 99.00 99.00 99.00 999 1026.4 999.0  23.4 999.0 99.0 99.00 
2019 06 01 17 40 999  2.2  3.3  1.06  9.09  6.97 339 1026.4 999.0  23.4 999.0 99.0 99.00 
2019 06 01 17 50 999  2.3  3.3 99.00 99.00 99.00 999 1026.3 999.0  23.4 999.0 99.0 99.00 
2019 06 01 18 00 999  2.5  3.7 99.00 99.00 99.00 999 1026.4 999.0  23.5 999.0 99.0 99.00 
2019 06 01 18 10 999  2.1  3.3 99.00 99.00 99.00 999 1026.4 999.0  23.4 999.0 99.0 99.00 
2019 06 01 18 20 999  2.2  3.2 99.00 99.00 99.00 999 1026.3 999.0  23.4 999.0 99.0 99.00 
2019 06 01 18 30 999  2.4  3.2 99.00 99.00 99.00 999 1026.3 999.0  23.5 999.0 99.0 99.00 
2019 06 01 18 40 999  2.5  3.6  1.16 10.00  7.32   8 1026.3 999.0  23.4 999.0 99.0 99.00 
2019 06 01 18 50 999  2.1  3.4 99.00 99.00 99.00 999 1026.3 999.0  23.4 999.0 99.0 99.00 
2019 06 01 19 00 999  2.5  3.6 99.00 99.00 99.00 999 1026.3 999.0  23.4 999.0 99.0 99.00 
2019 06 01 19 10 999  2.3  3.6 99.00 99.00 99.00 999 1026.3 999.0  23.5 999.0 99.0 99.00 
2019 06 01 19 20 999  2.5  3.7 99.00 99.00 99.00 999 1026.4 999.0  23.4 999.0 99.0 99.00 
2019 06 01 19 30 999  2.8  3.7 99.00 99.00 99.00 999 1026.4 999.0  23.4 999.0 99.0 99.00 
2019 06 01 19 40 999  3.0  4.0  1.19  7.69  7.09 309 1026.5 999.0  23.3 999.0 99.0 99.00 
2019 06 01 19 50 999  3.3  4.3 99.00 99.00 99.00 999 1026.5 999.0  23.3 999.0 99.0 99.00 
2019 06 01 20 00 999  3.3  4.1 99.00 99.00 99.00 999 1026.4 999.0  23.3 999.0 99.0 99.00 
2019 06 01 20 10 999  3.3  4.6 99.00 99.00 99.00 999 1026.4 999.0  23.3 999.0 99.0 99.00 
2019 06 01 20 20 999  3.1  4.3 99.00 99.00 99.00 999 1026.4 999.0  23.3 999.0 99.0 99.00 
2019 06 01 20 30 999  2.8  3.8 99.00 99.00 99.00 999 1026.5 999.0  23.2 999.0 99.0 99.00 
2019 06 01 20 40 999  3.0  4.1  1.29 10.00  7.53 335 1026.7 999.0  23.2 999.0 99.0 99.00 
2019 06 01 20 50 999  3.1  3.9 99.00 99.00 99.00 999 1026.9 999.0  23.2 999.0 99.0 99.00 
2019 06 01 21 00 999  2.9  4.0 99.00 99.00 99.00 999 1026.9 999.0  23.1 999.0 99.0 99.00 
2019 06 01 21 10 999  2.9  4.1 99.00 99.00 99.00 999 1026.9 999.0  23.2 999.0 99.0 99.00 
2019 06 01 21 20 999  3.1  4.4 99.00 99.00 99.00 999 1026.9 999.0  23.2 999.0 99.0 99.00 
2019 06 01 21 30 999  2.9  4.2 99.00 99.00 99.00 999 1026.9 999.0  23.2 999.0 99.0 99.00 
2019 06 01 21 40 999  3.1  4.5  1.38  9.09  7.55 330 1027.1 999.0  23.1 999.0 99.0 99.00 
2019 06 01 21 50 999  3.1  4.3 99.00 99.00 99.00 999 1027.1 999.0  23.1 999.0 99.0 99.00 
2019 06 01 22 00 999  3.1  4.2 99.00 99.00 99.00 999 1027.2 999.0  23.1 999.0 99.0 99.00 
2019 06 01 22 10 999  2.8  4.0 99.00 99.00 99.00 999 1027.2 999.0  23.2 999.0 99.0 99.00 
2019 06 01 22 20 999  2.4  3.4 99.00 99.00 99.00 999 1027.4 999.0  23.2 999.0 99.0 99.00 
2019 06 01 22 30 999  2.9  4.2 99.00 99.00 99.00 999 1027.4 999.0  23.1 999.0 99.0 99.00 
2019 06 01 22 40 999  3.1  4.0  1.45  9.09  7.80 339 1027.5 999.0  23.1 999.0 99.0 99.00 
2019 06 01 22 50 999  3.1  4.0 99.00 99.00 99.00 999 1027.5 999.0  23.1 999.0 99.0 99.00 
2019 06 01 23 00 999  2.8  3.8 99.00 99.00 99.00 999 1027.5 999.0  23.1 999.0 99.0 99.00 
2019 06 01 23 10 999  2.9  3.8 99.00 99.00 99.00 999 1027.7 999.0  23.1 999.0 99.0 99.00 
2019 06 01 23 20 999  2.9  3.8 99.00 99.00 99.00 999 1027.7 999.0  23.1 999.0 99.0 99.00 
2019 06 01 23 30 999  2.7  3.7 99.00 99.00 99.00 999 1027.8 999.0  23.1 999.0 99.0 99.00 
2019 06 01 23 40 999  2.6  3.8  1.18  9.09  7.33 358 1027.8 999.0  23.0 999.0 99.0 99.00 
2019 06 01 23 50 999  2.3  3.6 99.00 99.00 99.00 999 1027.9 999.0  23.0 999.0 99.0 99.00 
2019 06 02 00 00 999  2.5  3.4 99.00 99.00 99.00 999 1027.9 999.0  23.0 999.0 99.0 99.00 
2019 06 02 00 10 999  2.5  3.4 99.00 99.00 99.00 999 1027.9 999.0  23.0 999.0 99.0 99.00 
2019 06 02 00 20 999  2.2  3.2 99.00 99.00 99.00 999 1027.9 999.0  22.9 999.0 99.0 99.00 
2019 06 02 00 30 999  1.9  2.8 99.00 99.00 99.00 999 1027.9 999.0  22.9 999.0 99.0 99.00 
2019 06 02 00 40 999  2.1  2.7  1.28  9.09  7.42 327 1028.1 999.0  22.9 999.0 99.0 99.00 
2019 06 02 00 50 999  2.1  3.0 99.00 99.00 99.00 999 1028.1 999.0  22.9 999.0 99.0 99.00 
2019 06 02 01 00 999  2.4  3.4 99.00 99.00 99.00 999 1028.1 999.0  22.9 999.0 99.0 99.00 
2019 06 02 01 10 999  2.2  3.1 99.00 99.00 99.00 999 1028.1 999.0  22.9 999.0 99.0 99.00 
2019 06 02 01 20 999  2.0  2.8 99.00 99.00 99.00 999 1027.9 999.0  22.9 999.0 99.0 99.00 
2019 06 02 01 30 999  2.0  3.1 99.00 99.00 99.00 999 1027.8 999.0  22.9 999.0 99.0 99.00 
2019 06 02 01 40 999  1.9  2.6  1.40  9.09  7.63 325 1027.7 999.0  22.8 999.0 99.0 99.00 
2019 06 02 01 50 999  1.8  2.4 99.00 99.00 99.00 999 1027.7 999.0  22.8 999.0 99.0 99.00 
2019 06 02 02 00 999  1.8  2.5 99.00 99.00 99.00 999 1027.7 999.0  22.8 999.0 99.0 99.00 
2019 06 02 02 10 999  2.1  2.8 99.00 99.00 99.00 999 1027.7 999.0  22.8 999.0 99.0 99.00 
2019 06 02 02 20 999  2.0  2.8 99.00 99.00 99.00 999 1027.6 999.0  22.8 999.0 99.0 99.00 
2019 06 02 02 30 999  1.8  2.7 99.00 99.00 99.00 999 1027.7 999.0  22.8 999.0 99.0 99.00 
2019 06 02 02 40 999  1.8  2.7  1.18  9.09  7.34 329 1027.6 999.0  22.8 999.0 99.0 99.00 
2019 06 02 02 50 999  2.0  2.8 99.00 99.00 99.00 999 1027.6 999.0  22.7 999.0 99.0 99.00 
2019 06 02 03 00 999  1.8  2.7 99.00 99.00 99.00 999 1027.6 999.0  22.7 999.0 99.0 99.00 
2019 06 02 03 10 999  1.9  2.6 99.00 99.00 99.00 999 1027.4 999.0  22.7 999.0 99.0 99.00 
2019 06 02 03 20 999  2.1  2.9 99.00 99.00 99.00 999 1027.4 999.0  22.7 999.0 99.0 99.00 
2019 06 02 03 30 999  1.8  2.7 99.00 99.00 99.00 999 1027.4 999.0  22.7 999.0 99.0 99.00 
2019 06 02 03 40 999  2.0  2.7  1.19  7.69  7.29 318 1027.3 999.0  22.7 999.0 99.0 99.00 
2019 06 02 03 50 999  2.0  2.9 99.00 99.00 99.00 999 1027.2 999.0  22.7 999.0 99.0 99.00 
2019 06 02 04 00 999  1.8  2.5 99.00 99.00 99.00 999 1027.2 999.0  22.7 999.0 99.0 99.00 
2019 06 02 04 10 999  1.4  2.3 99.00 99.00 99.00 999 1027.2 999.0  22.7 999.0 99.0 99.00 
2019 06 02 04 20 999  1.2  2.2 99.00 99.00 99.00 999 1027.2 999.0  22.7 999.0 99.0 99.00 
2019 06 02 04 30 999  1.1  2.0 99.00 99.00 99.00 999 1027.2 999.0  22.7 999.0 99.0 99.00 
2019 06 02 04 40 999  1.0  2.3  1.25  8.33  7.69 331 1027.2 999.0  22.8 999.0 99.0 99.00 
2019 06 02 04 50 999  0.9  1.9 99.00 99.00 99.00 999 1027.2 999.0  22.8 999.0 99.0 99.00 
2019 06 02 05 00 999  1.2  2.3 99.00 99.00 99.00 999 1027.1 999.0  22.8 999.0 99.0 99.00 
2019 06 02 05 10 999  0.9  1.8 99.00 99.00 99.00 999 1027.1 999.0  22.8 999.0 99.0 99.00 
2019 06 02 05 20 999  0.6  1.4 99.00 99.00 99.00 999 1027.1 999.0  22.8 999.0 99.0 99.00 
2019 06 02 05 30 999  0.6  1.4 99.00 99.00 99.00 999 1027.1 999.0  22.8 999.0 99.0 99.00 
2019 06 02 05 40 999  0.3  1.2  1.31  8.33  7.57 326 1027.0 999.0  22.7 999.0 99.0 99.00 
2019 06 02 05 50 999  0.1  0.8 99.00 99.00 99.00 999 1026.9 999.0  22.7 999.0 99.0 99.00 
2019 06 02 06 00 999  0.0  0.2 99.00 99.00 99.00 999 1027.0 999.0  22.7 999.0 99.0 99.00 
2019 06 02 06 10 999  0.0  0.2 99.00 99.00 99.00 999 1026.9 999.0  22.7 999.0 99.0 99.00 
2019 06 02 06 20 999  0.0  0.3 99.00 99.00 99.00 999 1027.1 999.0  22.7 999.0 99.0 99.00 
2019 06 02 06 30 999  0.0  0.3 99.00 99.00 99.00 999 1027.1 999.0  22.7 999.0 99.0 99.00 
2019 06 02 06 40 999  0.1  0.6  1.24  8.33  7.49 346 1027.0 999.0  22.7 999.0 99.0 99.00 
2019 06 02 06 50 999  0.1  0.7 99.00 99.00 99.00 999 1027.0 999.0  22.7 999.0 99.0 99.00 
2019 06 02 07 00 999  0.0  0.6 99.00 99.00 99.00 999 1027.0 999.0  22.7 999.0 99.0 99.00 
2019 06 02 07 10 999  0.0  0.6 99.00 99.00 99.00 999 1027.0 999.0  22.6 999.0 99.0 99.00 
2019 06 02 07 20 999  0.1  0.6 99.00 99.00 99.00 999 1027.0 999.0  22.6 999.0 99.0 99.00 
2019 06 02 07 30 999  0.2  0.8 99.00 99.00 99.00 999 1027.1 999.0  22.6 999.0 99.0 99.00 
2019 06 02 07 40 999  0.9  1.9  1.18  9.09  7.47 336 1027.3 999.0  22.6 999.0 99.0 99.00 
2019 06 02 07 50 999  0.5  1.4 99.00 99.00 99.00 999 1027.3 999.0  22.6 999.0 99.0 99.00 
2019 06 02 08 00 999  0.3  1.2 99.00 99.00 99.00 999 1027.5 999.0  22.6 999.0 99.0 99.00 
2019 06 02 08 10 999  0.7  1.7 99.00 99.00 99.00 999 1027.5 999.0  22.7 999.0 99.0 99.00 
2019 06 02 08 20 999  0.7  1.5 99.00 99.00 99.00 999 1027.6 999.0  22.7 999.0 99.0 99.00 
2019 06 02 08 30 999  0.5  1.3 99.00 99.00 99.00 999 1027.7 999.0  22.7 999.0 99.0 99.00 
2019 06 02 08 40 999  1.0  1.6  1.21 10.00  7.50 334 1027.8 999.0  22.7 999.0 99.0 99.00 
2019 06 02 08 50 999  0.9  1.5 99.00 99.00 99.00 999 1027.8 999.0  22.7 999.0 99.0 99.00 
2019 06 02 09 00 999  1.4  2.3 99.00 99.00 99.00 999 1027.9 999.0  22.6 999.0 99.0 99.00 
2019 06 02 09 10 999  1.4  2.2 99.00 99.00 99.00 999 1028.0 999.0  22.5 999.0 99.0 99.00 
2019 06 02 09 20 999  1.4  2.2 99.00 99.00 99.00 999 1028.2 999.0  22.6 999.0 99.0 99.00 
2019 06 02 09 30 999  1.8  2.8 99.00 99.00 99.00 999 1028.3 999.0  22.6 999.0 99.0 99.00 
2019 06 02 09 40 999  2.0  3.1  1.14  9.09  7.47 340 1028.3 999.0  22.6 999.0 99.0 99.00 
2019 06 02 09 50 999  2.0  3.0 99.00 99.00 99.00 999 1028.4 999.0  22.7 999.0 99.0 99.00 
2019 06 02 10 00 999  2.2  3.5 99.00 99.00 99.00 999 1028.4 999.0  22.7 999.0 99.0 99.00 
2019 06 02 10 10 999  2.5  3.5 99.00 99.00 99.00 999 1028.5 999.0  22.7 999.0 99.0 99.00 
2019 06 02 10 20 999  3.0  3.9 99.00 99.00 99.00 999 1028.5 999.0  22.7 999.0 99.0 99.00 
2019 06 02 10 30 999  3.1  4.0 99.00 99.00 99.00 999 1028.6 999.0  22.7 999.0 99.0 99.00 
2019 06 02 10 40 999  3.0  4.0  1.24 10.00  7.63 354 1028.7 999.0  22.7 999.0 99.0 99.00 
2019 06 02 10 50 999  2.9  4.0 99.00 99.00 99.00 999 1028.7 999.0  22.7 999.0 99.0 99.00 
2019 06 02 11 00 999  2.5  3.4 99.00 99.00 99.00 999 1028.8 999.0  22.7 999.0 99.0 99.00 
2019 06 02 11 10 999  2.8  3.9 99.00 99.00 99.00 999 1028.8 999.0  22.7 999.0 99.0 99.00 
2019 06 02 11 20 999  2.5  3.8 99.00 99.00 99.00 999 1028.8 999.0  22.8 999.0 99.0 99.00 
2019 06 02 11 30 999  2.8  3.4 99.00 99.00 99.00 999 1028.8 999.0  22.8 999.0 99.0 99.00 
2019 06 02 11 40 999  2.8  3.8  1.13  9.09  7.77 327 1028.9 999.0  22.8 999.0 99.0 99.00 
2019 06 02 11 50 999  2.7  3.7 99.00 99.00 99.00 999 1029.0 999.0  22.8 999.0 99.0 99.00 
2019 06 02 12 00 999  2.7  3.7 99.00 99.00 99.00 999 1029.0 999.0  22.8 999.0 99.0 99.00 
2019 06 02 12 10 999  2.6  3.5 99.00 99.00 99.00 999 1029.1 999.0  22.9 999.0 99.0 99.00 
2019 06 02 12 20 999  2.7  3.8 99.00 99.00 99.00 999 1029.1 999.0  22.9 999.0 99.0 99.00 
2019 06 02 12 30 999  2.6  3.5 99.00 99.00 99.00 999 1029.3 999.0  22.9 999.0 99.0 99.00 
2019 06 02 12 40 999  2.6  3.4  1.11  9.09  7.70 324 1029.4 999.0  22.9 999.0 99.0 99.00 
2019 06 02 12 50 999  2.8  3.8 99.00 99.00 99.00 999 1029.5 999.0  22.9 999.0 99.0 99.00 
2019 06 02 13 00 999  2.4  3.5 99.00 99.00 99.00 999 1029.5 999.0  22.9 999.0 99.0 99.00 
2019 06 02 13 10 999  2.5  3.2 99.00 99.00 99.00 999 1029.5 999.0  23.0 999.0 99.0 99.00 
2019 06 02 13 20 999  2.3  3.2 99.00 99.00 99.00 999 1029.5 999.0  23.1 999.0 99.0 99.00 
